customer_id,first_name,last_name,active,address,district,city,country
468,Tim,Cary,1,1257 Guadalajara Street,Karnataka,Bijapur,India
436,Troy,Quigley,1,983 Santa F Way,British Colombia,Vancouver,Canada
485,Clyde,Tobias,1,1909 Dayton Avenue,Guangdong,Shaoguan,China
44,Marie,Turner,1,1998 Halifax Drive,Lipetsk,Lipetsk,Russian Federation
193,Katie,Elliott,1,447 Surakarta Loop,Nyanza,Kisumu,Kenya
2,Patricia,Johnson,1,1121 Loja Avenue,California,San Bernardino,United States
21,Michelle,Clark,1,262 A Corua (La Corua) Parkway,Dhaka,Tangail,Bangladesh
349,Joe,Gilliland,1,953 Hodeida Street,Southern Tagalog,Imus,Philippines
46,Catherine,Campbell,1,46 Pjatigorsk Lane,Moscow (City),Moscow,Russian Federation
345,Carl,Artis,1,1628 Nagareyama Lane,Central,San Lorenzo,Paraguay
274,Naomi,Jennings,1,1884 Shikarpur Avenue,Haryana,Karnal,India
296,Ramona,Hale,1,951 Stara Zagora Manor,Punjab,Patiala,India
308,Thomas,Grigsby,1,1191 Sungai Petani Boulevard,Missouri,Kansas City,United States
36,Kathleen,Adams,1,334 Munger (Monghyr) Lane,Markazi,Arak,Iran
510,Ben,Easter,0,886 Tonghae Place,Volgograd,Kamyin,Russian Federation
147,Joanne,Robertson,1,1337 Lincoln Parkway,Saitama,Urawa,Japan
324,Gary,Coy,1,867 Benin City Avenue,Henan,Yuzhou,China
182,Renee,Lane,1,533 al-Ayn Boulevard,California,Compton,United States
85,Anne,Powell,1,1557 Ktahya Boulevard,England,Bradford,United Kingdom
506,Leslie,Seward,1,1152 al-Qatif Lane,Kalimantan Barat,Pontianak,Indonesia
87,Wanda,Patterson,1,1740 Portoviejo Avenue,Sucre,Sincelejo,Colombia
595,Terrence,Gunderson,1,844 Bucuresti Place,Liaoning,Jinzhou,China
530,Darryl,Ashcraft,1,166 Jinchang Street,Buenos Aires,Ezeiza,Argentina
239,Minnie,Romero,1,47 Syktyvkar Lane,West Java,Ciomas,Indonesia
190,Yolanda,Weaver,1,605 Rio Claro Parkway,Tabora,Tabora,Tanzania
427,Jesus,Mccartney,1,259 Ipoh Drive,So Paulo,Guaruj,Brazil
586,Kirk,Stclair,1,1923 Stara Zagora Lane,Nantou,Tsaotun,Taiwan
499,Marc,Outlaw,1,1 Valle de Santiago Avenue,Apulia,Brindisi,Italy
179,Dana,Hart,1,1089 Iwatsuki Avenue,Kirov,Kirovo-Tepetsk,Russian Federation
203,Tara,Ryan,1,1688 Nador Lane,Sulawesi Utara,Gorontalo,Indonesia
543,Lance,Pemberton,1,454 Qinhuangdao Drive,Tadla-Azilal,Beni-Mellal,Morocco
9,Margaret,Moore,1,613 Korolev Drive,Masqat,Masqat,Oman
12,Nancy,Thomas,1,808 Bhopal Manor,Haryana,Yamuna Nagar,India
440,Bernard,Colby,1,495 Bhimavaram Lane,Maharashtra,Dhule (Dhulia),India
164,Joann,Gardner,1,842 Salzburg Lane,Adana,Tarsus,Turkey
540,Tyrone,Asher,1,191 Jos Azueta Parkway,Ruse,Ruse,Bulgaria
513,Duane,Tubbs,1,962 Tama Loop,,Yangor,Nauru
140,Eva,Ramos,1,1666 Beni-Mellal Place,Tennessee,Clarksville,United States
82,Kathryn,Coleman,1,927 Baha Blanca Parkway,Krim,Simferopol,Ukraine
416,Jeffery,Pinson,1,966 Arecibo Loop,Sind,Dadu,Pakistan
339,Walter,Perryman,1,1909 Benguela Lane,Henan,Xinxiang,China
333,Andrew,Purdy,1,431 Szkesfehrvr Avenue,Baki,Baku,Azerbaijan
555,Dwight,Lombardi,1,1497 Fengshan Drive,KwaZulu-Natal,Chatsworth,South Africa
585,Perry,Swafford,1,773 Dallas Manor,Buenos Aires,Quilmes,Argentina
212,Wilma,Richards,1,660 Jedda Boulevard,Washington,Bellevue,United States
302,Michael,Silverman,1,1908 Gaziantep Place,Liaoning,Tiefa,China
277,Olga,Jimenez,1,556 Baybay Manor,Oyo & Osun,Ogbomosho,Nigeria
98,Lillian,Griffin,1,669 Firozabad Loop,Abu Dhabi,al-Ayn,United Arab Emirates
423,Alfred,Casillas,1,1727 Matamoros Place,Sawhaj,Sawhaj,Egypt
483,Vernon,Chapa,1,698 Jelets Boulevard,Denizli,Denizli,Turkey
332,Stephen,Qualls,1,1838 Tabriz Lane,Dhaka,Dhaka,Bangladesh
180,Stacy,Cunningham,1,1410 Benin City Parkway,Risaralda,Pereira,Colombia
520,Mitchell,Westmoreland,1,617 Klerksdorp Place,Khanh Hoa,Nha Trang,Vietnam
496,Tyler,Wren,1,1060 Tandil Lane,Shandong,Rizhao,China
175,Annette,Olson,1,431 Xiangtan Avenue,Kerala,Allappuzha (Alleppey),India
160,Erin,Dunn,1,1623 Baha Blanca Manor,Moskova,Ljubertsy,Russian Federation
525,Adrian,Clary,1,1986 Sivas Place,Friuli-Venezia Giuli,Udine,Italy
578,Willard,Lumpkin,1,1819 Alessandria Loop,Campeche,Carmen,Mexico
124,Sheila,Wells,0,848 Tafuna Manor,Ktahya,Ktahya,Turkey
229,Tamara,Nguyen,1,356 Olomouc Manor,Gois,Anpolis,Brazil
