customer_id,first_name,last_name,active,address,district,city,country
325,Timothy,Bunn,1,981 Kumbakonam Place,Distrito Federal,Braslia,Brazil
463,Darrell,Power,1,1844 Usak Avenue,Nova Scotia,Halifax,Canada
299,James,Gannon,1,1635 Kuwana Boulevard,Hiroshima,Hiroshima,Japan
359,Willie,Markham,1,1623 Kingstown Drive,Buenos Aires,Almirante Brown,Argentina
176,June,Carroll,1,757 Rustenburg Avenue,Skikda,Skikda,Algeria
473,Jorge,Olivares,1,1078 Stara Zagora Drive,Aceh,Lhokseumawe,Indonesia
457,Bill,Gavin,1,1485 Bratislava Place,Illinois,Rockford,United States
397,Jimmy,Schrader,1,616 Hagonoy Avenue,Krasnojarsk,Atinsk,Russian Federation
241,Heidi,Larson,0,1103 Bilbays Parkway,Hubei,Xiangfan,China
278,Billie,Horton,1,457 Tongliao Loop,Bursa,Inegl,Turkey
166,Lynn,Payne,1,710 San Felipe del Progreso Avenue,Lilongwe,Lilongwe,Malawi
80,Marilyn,Ross,1,1888 Kabul Drive,Oyo & Osun,Ife,Nigeria
18,Carol,Garcia,1,320 Brest Avenue,Kaduna,Kaduna,Nigeria
238,Nellie,Garrett,1,1964 Gijn Manor,Karnataka,Shimoga,India
576,Morris,Mccarter,1,1568 Celaya Parkway,Kaohsiung,Fengshan,Taiwan
169,Erica,Matthews,0,1294 Firozabad Drive,Jiangxi,Pingxiang,China
458,Lloyd,Dowd,1,935 Aden Boulevard,Central Java,Tegal,Indonesia
262,Patsy,Davidson,1,816 Cayenne Parkway,Manab,Portoviejo,Ecuador
185,Roberta,Harper,1,927 Barcelona Street,Chaharmahal va Bakht,Shahr-e Kord,Iran
11,Lisa,Anderson,1,1542 Tarlac Parkway,Kanagawa,Sagamihara,Japan
94,Norma,Gonzales,1,152 Kitwe Parkway,Caraga,Bislig,Philippines
142,April,Burns,1,483 Ljubertsy Parkway,Scotland,Dundee,United Kingdom
253,Terry,Carlson,1,752 Ondo Loop,Miyazaki,Miyakonojo,Japan
50,Diane,Collins,1,115 Hidalgo Parkway,Khartum,Omdurman,Sudan
382,Victor,Barkley,1,401 Sucre Boulevard,New Hampshire,Manchester,United States
200,Jeanne,Lawson,1,387 Mwene-Ditu Drive,Ahal,Ashgabat,Turkmenistan
255,Irma,Pearson,1,127 Iwakuni Boulevard,Central Luzon,Hagonoy,Philippines
74,Denise,Kelly,1,1206 Dos Quebradas Place,So Paulo,Rio Claro,Brazil
372,Steve,Mackenzie,1,154 Oshawa Manor,East Java,Probolinggo,Indonesia
489,Ricardo,Meador,1,591 Sungai Petani Drive,Okayama,Okayama,Japan
409,Rodney,Moeller,1,1936 Lapu-Lapu Parkway,Bauchi & Gombe,Deba Habe,Nigeria
155,Gail,Knight,1,185 Novi Sad Place,Bern,Bern,Switzerland
432,Edwin,Burk,1,1766 Almirante Brown Street,KwaZulu-Natal,Newcastle,South Africa
111,Carmen,Owens,1,1378 Alvorada Avenue,Distrito Federal,Caracas,Venezuela
264,Gwendolyn,May,1,446 Kirovo-Tepetsk Lane,Osaka,Higashiosaka,Japan
54,Teresa,Rogers,1,1964 Allappuzha (Alleppey) Street,Yamaguchi,Iwakuni,Japan
223,Melinda,Fernandez,1,1820 Maring Parkway,Punjab,Mandi Bahauddin,Pakistan
511,Chester,Benner,1,1574 Goinia Boulevard,Heilongjiang,Suihua,China
471,Dean,Sauer,1,270 Tambaram Parkway,Gauteng,Johannesburg,South Africa
370,Wayne,Truong,1,1049 Matamoros Parkway,Karnataka,Gulbarga,India
29,Angela,Hernandez,1,786 Aurora Avenue,Yamaguchi,Shimonoseki,Japan
552,Hugh,Waldrop,1,904 Clarksville Drive,Zhejiang,Haining,China
150,Danielle,Daniels,1,781 Shimonoseki Drive,Michoacn de Ocampo,Hidalgo,Mexico
369,Fred,Wheat,1,433 Florencia Street,Chihuahua,Jurez,Mexico
567,Alfredo,Mcadams,1,1407 Surakarta Manor,Moskova,Serpuhov,Russian Federation
153,Suzanne,Nichols,1,456 Escobar Way,Jakarta Raya,Jakarta,Indonesia
429,Frederick,Isbell,1,1404 Taguig Drive,Okayama,Tsuyama,Japan
367,Adam,Gooch,1,230 Urawa Drive,Andhra Pradesh,Adoni,India
437,Randall,Neumann,1,1245 Ibirit Way,La Romana,La Romana,Dominican Republic
187,Brittany,Riley,1,140 Chiayi Parkway,Sumy,Sumy,Ukraine
280,Tracey,Barrett,1,1006 Santa Brbara dOeste Manor,Ondo & Ekiti,Owo,Nigeria
406,Nathan,Runyon,0,264 Bhimavaram Manor,St Thomas,Charlotte Amalie,"Virgin Islands, U.S."
284,Sonia,Gregory,1,1279 Udine Parkway,Edo & Delta,Benin City,Nigeria
260,Christy,Vargas,1,1158 Mandi Bahauddin Parkway,Shanxi,Datong,China
95,Paula,Bryant,1,1697 Tanauan Lane,Punjab,Pathankot,India
459,Tommy,Collazo,1,76 Kermanshah Manor,Esfahan,Qomsheh,Iran
151,Megan,Palmer,1,1560 Jelets Boulevard,Shandong,Laiwu,China
188,Melanie,Armstrong,1,1166 Changhwa Street,Caraga,Bayugan,Philippines
311,Paul,Trout,1,746 Joliet Lane,Kursk,Kursk,Russian Federation
210,Ella,Oliver,1,751 Lima Loop,Aden,Aden,Yemen
