customer_id,first_name,last_name,active,address,district,city,country
133,Pauline,Henry,1,261 Saint Louis Way,Coahuila de Zaragoza,Torren,Mexico
553,Max,Pitt,1,1917 Kumbakonam Parkway,Vojvodina,Novi Sad,Yugoslavia
507,Edgar,Rhoads,1,1269 Ipoh Avenue,Eskisehir,Eskisehir,Turkey
541,Darren,Windham,1,379 Lublin Parkway,Toscana,Livorno,Italy
580,Ross,Grey,1,951 Springs Lane,Central Mindanao,Iligan,Philippines
132,Esther,Crawford,1,898 Belm Manor,Free State,Botshabelo,South Africa
225,Arlene,Harvey,1,1014 Loja Manor,Tamil Nadu,Ambattur,India
69,Judy,Gray,1,1031 Daugavpils Parkway,Bchar,Bchar,Algeria
557,Felix,Gaffney,1,1059 Yuncheng Avenue,Vilna,Vilnius,Lithuania
380,Russell,Brinson,1,1642 Charlotte Amalie Drive,Slaskie,Tychy,Poland
560,Jordan,Archuleta,1,1229 Varanasi (Benares) Manor,Buenos Aires,Avellaneda,Argentina
24,Kimberly,Lee,1,96 Tafuna Way,Crdoba,Crdoba,Argentina
139,Amber,Dixon,1,1029 Dzerzinsk Manor,Ynlin,Touliu,Taiwan
466,Leo,Ebert,1,1322 Mosul Parkway,Shandong,Dongying,China
86,Jacqueline,Long,1,870 Ashqelon Loop,Songkhla,Songkhla,Thailand
13,Karen,Jackson,1,270 Amroha Parkway,Osmaniye,Osmaniye,Turkey
10,Dorothy,Taylor,1,1531 Sal Drive,Esfahan,Esfahan,Iran
419,Chad,Carbone,1,1948 Bayugan Parkway,Bihar,Katihar,India
403,Mike,Way,1,990 Etawah Loop,Tamil Nadu,Valparai,India
236,Marcia,Dean,1,1479 Rustenburg Boulevard,Southern Tagalog,Tanza,Philippines
574,Julian,Vest,1,923 Tangail Boulevard,Tokyo-to,Akishima,Japan
250,Jo,Fowler,1,786 Stara Zagora Way,Oyo & Osun,Oyo,Nigeria
55,Doris,Reed,1,1697 Kowloon and New Kowloon Loop,Moskova,Balaiha,Russian Federation
399,Danny,Isom,1,734 Bchar Place,Punjab,Okara,Pakistan
114,Grace,Ellis,1,442 Rae Bareli Place,Nordrhein-Westfalen,Duisburg,Germany
478,Lewis,Lyman,1,632 Usolje-Sibirskoje Parkway,Ha Darom,Ashqelon,Israel
476,Derrick,Bourque,1,1153 Allende Way,Qubec,Gatineau,Canada
361,Lawrence,Lawton,1,114 Jalib al-Shuyukh Manor,Centre,Yaound,Cameroon
292,Misty,Lambert,1,1192 Tongliao Street,Sharja,Sharja,United Arab Emirates
505,Rafael,Abney,1,48 Maracabo Place,Central Luzon,Talavera,Philippines
539,Mathew,Bolin,1,163 Augusta-Richmond County Loop,Carabobo,Valencia,Venezuela
218,Vera,Mccoy,1,1168 Najafabad Parkway,Kabol,Kabul,Afghanistan
533,Jessie,Milam,1,1332 Gaziantep Lane,Shandong,Binzhou,China
68,Nicole,Peterson,1,57 Arlington Manor,Madhya Pradesh,Shivapuri,India
258,Myrtle,Fleming,1,532 Toulon Street,Santiago,Santiago de los Caballeros,Dominican Republic
25,Deborah,Walker,1,934 San Felipe de Puerto Plata Street,Sind,Shikarpur,Pakistan
93,Phyllis,Foster,1,832 Nakhon Sawan Manor,Inner Mongolia,Zalantun,China
426,Bradley,Motley,1,1596 Acua Parkway,Jharkhand,Purnea (Purnia),India
102,Crystal,Ford,1,659 Vaduz Drive,Ha Darom,Ashdod,Israel
351,Jack,Foust,1,1378 Beira Loop,Krasnojarsk,Zeleznogorsk,Russian Federation
581,Virgil,Wofford,1,760 Miyakonojo Drive,Guerrero,Jos Azueta,Mexico
71,Kathy,James,1,492 Cam Ranh Street,Eastern Visayas,Baybay,Philippines
353,Jonathan,Scarborough,1,1698 Southport Loop,Hidalgo,Pachuca de Soto,Mexico
213,Gina,Williamson,1,1001 Miyakonojo Lane,Taizz,Taizz,Yemen
376,Randy,Gaither,1,1618 Olomouc Manor,Kurgan,Kurgan,Russian Federation
428,Herbert,Kruger,1,1823 Hoshiarpur Lane,Komi,Syktyvkar,Russian Federation
564,Bob,Pfeiffer,1,415 Pune Avenue,Shandong,Xintai,China
184,Vivian,Ruiz,1,741 Ambattur Manor,Noord-Brabant,s-Hertogenbosch,Netherlands
79,Rachel,Barnes,1,586 Tete Way,Kanagawa,Kamakura,Japan
109,Edna,West,1,682 Junan Way,North West,Klerksdorp,South Africa
148,Eleanor,Hunt,1,1952 Pune Lane,Saint-Denis,Saint-Denis,Runion
201,Vicki,Fields,1,68 Molodetno Manor,Nordrhein-Westfalen,Witten,Germany
320,Anthony,Schwab,1,1892 Nabereznyje Telny Lane,Tutuila,Tafuna,American Samoa
81,Andrea,Henderson,1,320 Baiyin Parkway,Mahajanga,Mahajanga,Madagascar
232,Constance,Reid,1,885 Yingkou Manor,Kaduna,Zaria,Nigeria
295,Daisy,Bates,1,661 Chisinau Lane,Pietari,Kolpino,Russian Federation
315,Kenneth,Gooden,0,1542 Lubumbashi Boulevard,Tel Aviv,Bat Yam,Israel
322,Jason,Morrissey,1,1427 A Corua (La Corua) Place,Buenos Aires,Baha Blanca,Argentina
550,Guy,Brownlee,1,346 Cam Ranh Avenue,Zhejiang,Zhoushan,China
97,Annie,Russell,1,1599 Plock Drive,Tete,Tete,Mozambique
