customer_id,first_name,last_name,active,address,district,city,country
228,Allison,Stanley,1,754 Valencia Place,Phnom Penh,Phnom Penh,Cambodia
216,Natalie,Meyer,1,1201 Qomsheh Manor,Gois,Aparecida de Goinia,Brazil
40,Amanda,Carter,1,671 Graz Street,Oriental,Nador,Morocco
490,Sam,Mcduffie,1,656 Matamoros Drive,Boyac,Sogamoso,Colombia
1,Mary,Smith,1,1913 Hanoi Way,Nagasaki,Sasebo,Japan
573,Byron,Box,1,521 San Juan Bautista Tuxtepec Place,Qaraghandy,Zhezqazghan,Kazakstan
444,Marcus,Hidalgo,1,1289 Belm Boulevard,Tartumaa,Tartu,Estonia
43,Christine,Roberts,1,1447 Imus Way,Tahiti,Faaa,French Polynesia
159,Jill,Hawkins,1,1440 Compton Place,North Austria,Linz,Austria
73,Beverly,Brooks,1,1947 Poos de Caldas Boulevard,Chiayi,Chiayi,Taiwan
307,Joseph,Joy,1,1354 Siegen Street,Rio de Janeiro,Angra dos Reis,Brazil
310,Daniel,Cabral,1,543 Bergamo Avenue,Minas Gerais,Ibirit,Brazil
208,Lucy,Wheeler,1,624 Oshawa Boulevard,West Bengali,Balurghat,India
288,Bobbie,Craig,1,86 Higashiosaka Lane,Guanajuato,Valle de Santiago,Mexico
243,Lydia,Burke,1,1483 Pathankot Street,Tucumn,San Miguel de Tucumn,Argentina
572,Sidney,Burleson,1,1405 Hagonoy Avenue,Slaskie,Czestochowa,Poland
189,Loretta,Carpenter,1,891 Novi Sad Manor,Ontario,Oshawa,Canada
418,Jeff,East,1,437 Chungho Drive,Puerto Plata,San Felipe de Puerto Plata,Dominican Republic
502,Brett,Cornwell,1,1197 Sokoto Boulevard,West Bengali,Siliguri (Shiliguri),India
32,Amy,Lopez,1,176 Mandaluyong Place,Uttar Pradesh,Jhansi,India
275,Carole,Barnett,1,1980 Kamjanets-Podilskyi Street,Illinois,Peoria,United States
481,Herman,Devore,1,64 Korla Street,Mwanza,Mwanza,Tanzania
222,Delores,Hansen,1,810 Palghat (Palakkad) Boulevard,Jaroslavl,Jaroslavl,Russian Federation
167,Sally,Pierce,1,1540 Wroclaw Drive,Maharashtra,Chandrapur,India
149,Valerie,Black,1,782 Mosul Street,Massachusetts,Brockton,United States
430,Ray,Houle,1,740 Udaipur Lane,Nizni Novgorod,Dzerzinsk,Russian Federation
329,Frank,Waggoner,1,1816 Bydgoszcz Loop,Dhaka,Jamalpur,Bangladesh
283,Felicia,Sutton,1,226 Halifax Street,Xinxiang,Korla,China
194,Kristen,Chavez,1,345 Oshawa Boulevard,Tokyo-to,Hino,Japan
162,Lauren,Hudson,1,1740 Le Mans Loop,Pays de la Loire,Le Mans,France
127,Elaine,Stevens,1,801 Hagonoy Drive,Smolensk,Smolensk,Russian Federation
546,Kelly,Knott,1,390 Wroclaw Way,Hainan,Sanya,China
14,Betty,White,1,770 Bydgoszcz Avenue,California,Citrus Heights,United States
491,Rick,Mattox,1,775 ostka Drive,al-Daqahliya,Mit Ghamr,Egypt
240,Marlene,Welch,1,1148 Saarbrcken Parkway,Fukushima,Iwaki,Japan
501,Ruben,Geary,1,414 Mandaluyong Street,Lubelskie,Lublin,Poland
566,Casey,Mena,1,539 Hami Way,Tokat,Tokat,Turkey
434,Eddie,Tomlin,1,1351 Aparecida de Goinia Parkway,Northern Mindanao,Ozamis,Philippines
33,Anna,Hill,1,127 Purnea (Purnia) Manor,Piemonte,Alessandria,Italy
524,Jared,Ely,1,1003 Qinhuangdao Street,West Java,Purwakarta,Indonesia
266,Nora,Herrera,1,1587 Loja Manor,Salzburg,Salzburg,Austria
425,Francis,Sikes,1,355 Vitria de Santo Anto Way,Oaxaca,San Juan Bautista Tuxtepec,Mexico
144,Clara,Shaw,1,1027 Songkhla Manor,Minsk,Molodetno,Belarus
265,Jennie,Terry,1,682 Halisahar Place,Severn Morava,Olomouc,Czech Republic
388,Craig,Morrell,1,717 Changzhou Lane,Southern Tagalog,Cavite,Philippines
156,Bertha,Ferguson,1,1367 Yantai Manor,Ondo & Ekiti,Ondo,Nigeria
83,Louise,Jenkins,1,929 Tallahassee Loop,Gauteng,Springs,South Africa
362,Nicholas,Barfield,1,1163 London Parkway,Par,Belm,Brazil
125,Ethel,Webb,1,569 Baicheng Lane,Gauteng,Boksburg,South Africa
227,Colleen,Burton,1,430 Alessandria Loop,Saarland,Saarbrcken,Germany
215,Jessie,Banks,1,1229 Valencia Parkway,Haskovo,Stara Zagora,Bulgaria
360,Ralph,Madrigal,1,1009 Zanzibar Lane,Arecibo,Arecibo,Puerto Rico
517,Brad,Mccurdy,1,608 Birgunj Parkway,Taipei,Chungho,Taiwan
42,Carolyn,Perez,1,1632 Bislig Avenue,Nonthaburi,Pak Kret,Thailand
391,Clarence,Gamez,1,767 Pyongyang Drive,Osaka,Izumisano,Japan
214,Kristin,Johnston,1,226 Brest Manor,California,Sunnyvale,United States
7,Maria,Miller,1,900 Santiago de Compostela Parkway,Central Serbia,Kragujevac,Yugoslavia
22,Laura,Rodriguez,1,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,Sal,Morocco
254,Maxine,Silva,1,1338 Zalantun Lane,Minas Gerais,Poos de Caldas,Brazil
