customer_id,first_name,last_name,active,address,district,city,country
508,Milton,Howland,1,758 Korolev Parkway,Andhra Pradesh,Vijayawada,India
152,Alicia,Mills,1,1963 Moscow Place,Assam,Nagaon,India
226,Maureen,Little,1,201 Effon-Alaiye Way,Asuncin,Asuncin,Paraguay
141,Debbie,Reyes,1,928 Jaffna Loop,Hiroshima,Fukuyama,Japan
249,Dora,Medina,1,1760 Oshawa Manor,Tianjin,Tianjin,China
579,Daryl,Larue,1,1208 Tama Loop,Ninawa,Mosul,Iraq
247,Stella,Moreno,1,1473 Changhwa Parkway,Mxico,Coacalco de Berriozbal,Mexico
381,Bobby,Boudreau,1,1368 Maracabo Boulevard,,South Hill,Anguilla
251,Vickie,Brewer,1,1966 Tonghae Street,Anhalt Sachsen,Halle/Saale,Germany
435,Ricky,Shelby,1,722 Bradford Lane,Shandong,Junan,China
39,Debra,Nelson,1,306 Antofagasta Place,Esprito Santo,Vila Velha,Brazil
143,Leslie,Gordon,1,374 Bat Yam Boulevard,Kilis,Kilis,Turkey
598,Wade,Delvalle,1,1331 Usak Boulevard,Vaud,Lausanne,Switzerland
374,Jeremy,Hurtado,1,1133 Rizhao Avenue,Pernambuco,Vitria de Santo Anto,Brazil
198,Elsie,Kelley,1,955 Bamenda Way,Ondo & Ekiti,Ikerre,Nigeria
112,Rosa,Reynolds,1,793 Cam Ranh Avenue,California,Lancaster,United States
41,Stephanie,Mitchell,1,42 Brindisi Place,Yerevan,Yerevan,Armenia
220,Charlene,Alvarez,1,1842 Luzinia Boulevard,Zanzibar West,Zanzibar,Tanzania
37,Pamela,Baker,1,1440 Fukuyama Loop,Henan,Nanyang,China
107,Florence,Woods,1,1532 Dzerzinsk Way,Buenos Aires,Merlo,Argentina
286,Velma,Lucas,1,1155 Liaocheng Place,Oyo & Osun,Effon-Alaiye,Nigeria
522,Arnold,Havens,1,1176 Southend-on-Sea Manor,Southern Tagalog,Santa Rosa,Philippines
379,Carlos,Coughlin,1,97 Mogiljov Lane,Gujarat,Bhavnagar,India
263,Hilda,Hopkins,1,1831 Nam Dinh Loop,National Capital Reg,Mandaluyong,Philippines
384,Ernest,Stepp,1,500 Lincoln Parkway,Jiangsu,Huaian,China
441,Mario,Cheatham,1,1924 Shimonoseki Drive,Batna,Batna,Algeria
453,Calvin,Martel,1,138 Caracas Boulevard,Zulia,Maracabo,Venezuela
594,Eduardo,Hiatt,1,1837 Kaduna Parkway,Inner Mongolia,Jining,China
57,Evelyn,Morgan,1,943 Tokat Street,Vaduz,Vaduz,Liechtenstein
72,Theresa,Watson,1,89 Allappuzha (Alleppey) Manor,National Capital Reg,Taguig,Philippines
357,Keith,Rico,1,482 Kowloon and New Kowloon Manor,Bratislava,Bratislava,Slovakia
317,Edward,Baugh,1,1359 Zhoushan Parkway,Streymoyar,Trshavn,Faroe Islands
99,Emily,Diaz,1,588 Vila Velha Manor,Kyongsangbuk,Kimchon,South Korea
597,Freddie,Duggan,1,1103 Quilmes Boulevard,Piura,Sullana,Peru
319,Ronald,Weiner,1,1145 Vilnius Manor,Mxico,San Felipe del Progreso,Mexico
90,Ruby,Washington,1,1952 Chatsworth Drive,Guangdong,Meixian,China
199,Beth,Franklin,1,1149 A Corua (La Corua) Boulevard,Haiphong,Haiphong,Vietnam
599,Austin,Cintron,1,1325 Fukuyama Street,Heilongjiang,Tieli,China
34,Rebecca,Scott,1,61 Tama Street,Okayama,Kurashiki,Japan
447,Clifford,Bowens,1,207 Cuernavaca Loop,Tatarstan,Nabereznyje Telny,Russian Federation
472,Greg,Robins,1,1786 Salinas Place,Nam Ha,Nam Dinh,Vietnam
5,Elizabeth,Brown,1,53 Idfu Parkway,Nantou,Nantou,Taiwan
402,Luis,Yanez,1,1346 Mysore Drive,Bretagne,Brest,France
248,Caroline,Bowman,1,1309 Weifang Street,Florida,Tallahassee,United States
207,Gertrude,Castillo,1,850 Salala Loop,Kitaa,Nuuk,Greenland
512,Cecil,Vines,1,548 Uruapan Street,Ontario,London,United Kingdom
126,Ellen,Simpson,1,1666 Qomsheh Drive,So Paulo,Po,Brazil
536,Fernando,Churchill,1,193 Bhusawal Place,Kang-won,Tonghae,South Korea
354,Justin,Ngo,1,519 Nyeri Manor,So Paulo,Santo Andr,Brazil
293,Mae,Fletcher,1,44 Najafabad Way,Baskimaa,Donostia-San Sebastin,Spain
588,Marion,Ocampo,1,1464 Kursk Parkway,Shandong,Weifang,China
417,Travis,Estep,1,289 Santo Andr Manor,al-Sharqiya,al-Qatif,Saudi Arabia
146,Jamie,Rice,1,879 Newcastle Way,Michigan,Sterling Heights,United States
129,Carrie,Porter,1,1854 Tieli Street,Shandong,Liaocheng,China
462,Warren,Sherrod,1,1621 Tongliao Avenue,Irkutsk,Usolje-Sibirskoje,Russian Federation
342,Harold,Martino,1,1293 Nam Dinh Way,Roraima,Boa Vista,Brazil
186,Holly,Fox,1,435 0 Way,West Bengali,Haldia,India
196,Alma,Austin,1,1074 Binzhou Manor,Baden-Wrttemberg,Mannheim,Germany
28,Cynthia,Young,1,1425 Shikarpur Manor,Bihar,Munger (Monghyr),India
211,Stacey,Montgomery,1,1333 Haldia Street,Jilin,Fuyu,China
