customer_id,first_name,last_name,active,address,district,city,country
341,Peter,Menard,1,1217 Konotop Avenue,Gelderland,Ede,Netherlands
15,Helen,Harris,1,419 Iligan Lane,Madhya Pradesh,Bhopal,India
482,Maurice,Crawley,0,1785 So Bernardo do Campo Street,Veracruz,Coatzacoalcos,Mexico
122,Thelma,Murray,1,1175 Tanauan Way,Lima,Lima,Peru
467,Alvin,Deloach,1,1447 Chatsworth Place,Chihuahua,Cuauhtmoc,Mexico
287,Becky,Miles,1,1993 Tabuk Lane,Tamil Nadu,Tambaram,India
233,Lillie,Kim,1,1736 Cavite Place,Qina,Idfu,Egypt
61,Katherine,Rivera,1,915 Ponce Place,Basel-Stadt,Basel,Switzerland
281,Leona,Obrien,1,1308 Sumy Loop,Fujian,Fuzhou,China
267,Margie,Wade,1,1762 Paarl Parkway,Hunan,Lengshuijiang,China
256,Mabel,Holland,1,51 Laredo Avenue,Sagaing,Monywa,Myanmar
464,Jerome,Kenyon,1,1872 Toulon Loop,OHiggins,Rancagua,Chile
396,Earl,Shanks,1,168 Cianjur Manor,Saitama,Iwatsuki,Japan
531,Jamie,Waugh,1,958 Sagamihara Lane,Mie,Kuwana,Japan
523,Harvey,Guajardo,1,600 Purnea (Purnia) Avenue,Nghe An,Vinh,Vietnam
246,Marian,Mendoza,1,829 Grand Prairie Way,Paran,Maring,Brazil
338,Dennis,Gilman,1,1443 Mardan Street,Western Cape,Paarl,South Africa
445,Micheal,Forman,1,203 Tambaram Street,Buenos Aires,Escobar,Argentina
3,Linda,Williams,1,692 Joliet Street,Attika,Athenai,Greece
157,Darlene,Rose,1,1386 Nakhon Sawan Boulevard,Pyongyang-si,Pyongyang,North Korea
475,Pedro,Chestnut,1,421 Yaound Street,Sumy,ostka,Ukraine
350,Juan,Fraley,1,469 Nakhon Sawan Street,Tuvassia,Teboksary,Russian Federation
165,Lorraine,Stephens,1,154 Tallahassee Loop,Xinxiang,Hami,China
224,Pearl,Garza,1,60 Poos de Caldas Street,Rajasthan,Jodhpur,India
197,Sue,Peters,1,817 Bradford Loop,Jiangsu,Changzhou,China
413,Marvin,Yee,1,126 Acua Parkway,West Bengali,Berhampore (Baharampur),India
335,Gregory,Mauldin,1,507 Smolensk Loop,Sousse,Sousse,Tunisia
542,Lonnie,Tirado,1,1658 Cuman Loop,Sumatera Selatan,Pangkal Pinang,Indonesia
575,Isaac,Oglesby,1,186 Skikda Lane,Morelos,Cuernavaca,Mexico
66,Janice,Ward,1,1150 Kimchon Manor,Skne ln,Malm,Sweden
454,Alex,Gresham,1,251 Florencia Drive,Michoacn de Ocampo,Uruapan,Mexico
393,Philip,Causey,1,954 Lapu-Lapu Way,Moskova,Korolev,Russian Federation
378,Eugene,Culpepper,1,686 Donostia-San Sebastin Lane,Guangdong,Shenzhen,China
568,Alberto,Henning,1,502 Mandi Bahauddin Parkway,Anzotegui,Barcelona,Venezuela
26,Jessica,Hall,1,18 Duisburg Boulevard,,Citt del Vaticano,Holy See (Vatican City State)
583,Marshall,Thorn,1,1584 Ljubertsy Lane,England,Southampton,United Kingdom
514,Franklin,Troutman,1,1778 Gijn Manor,Hubei,Zaoyang,China
515,Andre,Rapp,1,568 Dhule (Dhulia) Loop,Coquimbo,Coquimbo,Chile
592,Terrance,Roush,0,42 Fontana Avenue,Fejr,Szkesfehrvr,Hungary
285,Miriam,Mckinney,1,1336 Benin City Drive,Shiga,Otsu,Japan
356,Gerald,Fultz,1,45 Aparecida de Goinia Place,Madhya Pradesh,Satna,India
328,Jeffrey,Spear,1,1860 Taguig Loop,West Java,Ciparay,Indonesia
120,Sylvia,Ortiz,1,241 Mosul Lane,Risaralda,Dos Quebradas,Colombia
191,Jeanette,Greene,1,1077 San Felipe de Puerto Plata Place,Rostov-na-Donu,Novoterkassk,Russian Federation
344,Henry,Billingsley,1,1516 Escobar Drive,Tongatapu,Nukualofa,Tonga
59,Cheryl,Murphy,1,1213 Ranchi Parkway,Karnataka,Mysore,India
394,Chris,Brothers,1,331 Bydgoszcz Parkway,Asturia,Gijn,Spain
449,Oscar,Aquino,1,956 Nam Dinh Manor,Kerman,Sirjan,Iran
474,Dustin,Gillette,1,1854 Okara Boulevard,Drenthe,Emmen,Netherlands
590,Seth,Hannon,1,1759 Niznekamsk Avenue,al-Manama,al-Manama,Bahrain
461,Derek,Blakely,1,118 Jaffna Loop,Northern Mindanao,Gingoog,Philippines
484,Roberto,Vu,1,1297 Alvorada Parkway,Ningxia,Yinchuan,China
343,Douglas,Graf,1,785 Vaduz Street,Baja California,Mexicali,Mexico
31,Brenda,Wright,1,33 Gorontalo Way,West Bengali,Kamarhati,India
171,Dolores,Wagner,1,316 Uruapan Street,Perak,Ipoh,Malaysia
497,Gilbert,Sledge,1,1515 Korla Way,England,York,United Kingdom
272,Kay,Caldwell,1,85 San Felipe de Puerto Plata Drive,Shandong,Yantai,China
495,Charlie,Bess,1,362 Rajkot Lane,Gansu,Baiyin,China
261,Deanna,Byrd,1,862 Xintai Lane,Cagayan Valley,Tuguegarao,Philippines
529,Erik,Guillen,1,635 Brest Manor,Andhra Pradesh,Bhimavaram,India
