customer_id,first_name,last_name,active,address,district,city,country
312,Mark,Rinehart,1,780 Kimberley Way,Tabuk,Tabuk,Saudi Arabia
108,Tracy,Cole,1,1002 Ahmadnagar Manor,Mxico,Huixquilucan,Mexico
6,Jennifer,Davis,1,1795 Santiago de Compostela Way,Texas,Laredo,United States
131,Monica,Hicks,1,1752 So Leopoldo Parkway,Taka-Karpatia,Mukateve,Ukraine
448,Miguel,Betancourt,1,319 Springs Loop,Baijeri,Erlangen,Germany
385,Phillip,Holm,1,102 Chapra Drive,Ibaragi,Tama,Japan
276,Brandy,Graves,1,1944 Bamenda Way,Michigan,Warren,United States
19,Ruth,Martinez,1,1417 Lancaster Avenue,Northern Cape,Kimberley,South Africa
479,Zachary,Hite,1,98 Pyongyang Boulevard,Ohio,Akron,United States
48,Ann,Evans,1,909 Garland Manor,Tatarstan,Niznekamsk,Russian Federation
121,Josephine,Gomez,1,211 Chiayi Drive,Uttar Pradesh,Etawah,India
584,Salvador,Teel,1,247 Jining Parkway,Banjul,Banjul,Gambia
113,Cindy,Fisher,1,1079 Tel Aviv-Jaffa Boulevard,Sucre,Cuman,Venezuela
323,Matthew,Mahan,1,479 San Felipe del Progreso Avenue,Morelos,Cuautla,Mexico
420,Jacob,Lance,1,1866 al-Qatif Avenue,California,El Monte,United States
392,Sean,Douglass,1,614 Pak Kret Street,Addis Abeba,Addis Abeba,Ethiopia
477,Dan,Paine,1,808 Naala-Porto Parkway,England,Stockport,United Kingdom
532,Neil,Renner,1,1817 Livorno Way,Khanh Hoa,Cam Ranh,Vietnam
204,Rosemary,Schmidt,1,1215 Pyongyang Parkway,Usak,Usak,Turkey
314,George,Linton,1,1957 Yantai Lane,So Paulo,Sorocaba,Brazil
503,Angel,Barclay,1,496 Celaya Drive,Nagano,Ueda,Japan
106,Connie,Wallace,1,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,Ivanovo,Russian Federation
571,Johnnie,Chisholm,1,1501 Pangkal Pinang Avenue,Mazowieckie,Plock,Poland
340,Patrick,Newsom,1,68 Ponce Parkway,Hanoi,Hanoi,Vietnam
282,Jenny,Castro,1,1405 Chisinau Place,Ponce,Ponce,Puerto Rico
469,Wesley,Bull,1,1469 Plock Lane,Galicia,Ourense (Orense),Spain
562,Wallace,Slone,1,1342 Sharja Way,Sokoto & Kebbi & Zam,Sokoto,Nigeria
415,Glenn,Pullen,1,992 Klerksdorp Loop,Utrecht,Amersfoort,Netherlands
408,Manuel,Murrell,1,692 Amroha Drive,Northern,Jaffna,Sri Lanka
330,Scott,Shelley,1,587 Benguela Manor,Illinois,Aurora,United States
395,Johnny,Turpin,1,1152 Citrus Heights Manor,al-Qadarif,al-Qadarif,Sudan
398,Antonio,Meek,1,1190 0 Place,Rio Grande do Sul,Bag,Brazil
383,Martin,Bales,1,368 Hunuco Boulevard,Namibe,Namibe,Angola
528,Claude,Herzog,1,486 Ondo Parkway,Benguela,Benguela,Angola
63,Ashley,Richardson,1,1214 Hanoi Way,Nebraska,Lincoln,United States
20,Sharon,Robinson,1,1688 Okara Way,Nothwest Border Prov,Mardan,Pakistan
556,Armando,Gruber,1,869 Shikarpur Way,England,Southport,United Kingdom
316,Steven,Curley,1,651 Pathankot Loop,Maharashtra,Miraj,India
591,Kent,Arsenault,1,32 Liaocheng Way,Minas Gerais,Juiz de Fora,Brazil
500,Reginald,Kinder,1,519 Brescia Parkway,East Java,Madiun,Indonesia
569,Dave,Gardiner,1,1052 Pathankot Avenue,Sichuan,Leshan,China
231,Georgia,Jacobs,1,954 Kimchon Place,West Bengali,Uttarpara-Kotrung,India
205,Eileen,Carr,1,1679 Antofagasta Street,Alto Paran,Ciudad del Este,Paraguay
551,Clayton,Barbee,1,1407 Pachuca de Soto Place,Rio Grande do Sul,Alvorada,Brazil
347,Ryan,Salisbury,1,1673 Tangail Drive,Daugavpils,Daugavpils,Latvia
460,Leon,Bostic,1,734 Tanshui Avenue,Caquet,Florencia,Colombia
173,Audrey,Ray,1,1010 Klerksdorp Way,Steiermark,Graz,Austria
577,Clifton,Malcolm,1,1489 Kakamigahara Lane,Taipei,Tanshui,Taiwan
56,Gloria,Cook,1,1668 Saint Louis Place,Tahiti,Papeete,French Polynesia
117,Edith,Mcdonald,1,1967 Sincelejo Place,Gujarat,Gandhinagar,India
487,Hector,Poindexter,1,185 Mannheim Lane,Stavropol,Pjatigorsk,Russian Federation
4,Barbara,Jones,1,1566 Inegl Manor,Mandalay,Myingyan,Myanmar
67,Kelly,Torres,1,1586 Guaruj Place,Hunan,Xiangtan,China
336,Joshua,Mark,1,1920 Weifang Avenue,Uttar Pradesh,Rampur,India
297,Sherri,Rhodes,1,922 Vila Velha Loop,Maharashtra,Ahmadnagar,India
65,Rose,Howard,1,698 Otsu Street,Cayenne,Cayenne,French Guiana
375,Aaron,Selby,1,1519 Santiago de los Caballeros Loop,East Kasai,Mwene-Ditu,"Congo, The Democratic Republic of the"
535,Javier,Elrod,1,195 Ilorin Street,Chari-Baguirmi,NDjamna,Chad
424,Kyle,Spurlock,1,1269 Botosani Manor,Guangdong,Shanwei,China
119,Sherry,Marshall,1,1987 Coacalco de Berriozbal Loop,al-Qalyubiya,Shubra al-Khayma,Egypt
